trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,waiting_for_scanner.started,key_resp_start.started,text.started,instruction_image.started,waiting_for_scanner.stopped,key_resp_start.keys,key_resp_start.rt,key_resp_start.duration,dummy.started,dummy_fixation_cross.started,dummy.stopped,trial.started,movie.started,key_resp_trial.started,trial.stopped,key_resp_trial.keys,rating.started,rating_fixation_square.started,rating.stopped,washout.started,washout_fixation_cross.started,washout.stopped,washout_fixation_cross.stopped,end.started,end_text.started,end.stopped,participant,session,run,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,0.002719399999932648,0.015407200000026933,0.015407200000026933,0.015407200000026933,2.238452899999629,5,2.2204373000004125,None,,,,,,,,,,,,,,,,,,,19971121,999,999,2025-01-13_12h30.24.950,video_presentation,2023.2.3,143.90849722089214,2025-01-13 12h30.33.782755 -0500,
0,0,0,0,12.552684399999634,,,,,,,,,,2.2384822999997596,2.2447306999997636,12.239339999999629,12.240371499999583,12.552684399999634,12.552684399999634,15.239084399999683,None,15.23961799999961,15.246054999999615,15.948207899999943,15.948226799999702,15.965289299999768,16.948747799999637,,,,,19971121,999,999,2025-01-13_12h30.24.950,video_presentation,2023.2.3,143.90849722089214,2025-01-13 12h30.33.782755 -0500,
1,0,1,0,17.185569399999622,,,,,,,,,,,,,16.94925639999974,17.185569399999622,17.185569399999622,19.953970299999582,None,19.954328399999667,19.96093729999984,20.26781559999972,20.26784439999983,20.27315389999967,21.26710099999991,21.448038300000007,,,,19971121,999,999,2025-01-13_12h30.24.950,video_presentation,2023.2.3,143.90849722089214,2025-01-13 12h30.33.782755 -0500,
2,0,2,0,21.448038300000007,,,,,,,,,,,,,21.267498599999726,21.448038300000007,21.448038300000007,24.272515499999827,None,24.27290419999963,24.279496599999675,24.749235999999655,24.749252399999932,24.75454009999976,25.748630799999773,25.93070839999973,,,,19971121,999,999,2025-01-13_12h30.24.950,video_presentation,2023.2.3,143.90849722089214,2025-01-13 12h30.33.782755 -0500,
3,0,3,0,25.93070839999973,,,,,,,,,,,,,25.74886779999997,25.93070839999973,25.93070839999973,28.754788799999915,None,28.755355599999803,28.761501999999837,29.24154950000002,29.24158499999976,29.24751649999962,30.24126699999988,30.42357489999995,,,,19971121,999,999,2025-01-13_12h30.24.950,video_presentation,2023.2.3,143.90849722089214,2025-01-13 12h30.33.782755 -0500,
4,0,4,0,30.42357489999995,,,,,,,,,,,,,30.24166409999998,30.42357489999995,30.42357489999995,33.24777669999958,None,33.24822809999978,33.25461389999964,33.72082259999979,33.72083729999986,33.7262883999997,34.72065799999973,34.95915500000001,,,,19971121,999,999,2025-01-13_12h30.24.950,video_presentation,2023.2.3,143.90849722089214,2025-01-13 12h30.33.782755 -0500,
5,0,5,0,34.95915500000001,,,,,,,,,,,,,34.72123649999958,34.95915500000001,34.95915500000001,37.727713199999926,None,37.728096099999675,37.734669499999654,42.721497499999714,42.72151309999981,42.72819129999971,43.721560299999965,,,,,19971121,999,999,2025-01-13_12h30.24.950,video_presentation,2023.2.3,143.90849722089214,2025-01-13 12h30.33.782755 -0500,
6,0,6,0,43.94966209999984,,,,,,,,,,,,,43.721857799999725,43.94966209999984,43.94966209999984,46.7254168999998,None,46.72582599999987,46.73223519999965,47.025212799999736,47.02524779999976,47.03056609999976,48.02444699999978,48.21857119999959,,,,19971121,999,999,2025-01-13_12h30.24.950,video_presentation,2023.2.3,143.90849722089214,2025-01-13 12h30.33.782755 -0500,
7,0,7,0,48.21857119999959,,,,,,,,,,,,,48.02475679999998,48.21857119999959,48.21857119999959,51.02884640000002,None,51.02926179999986,51.035687699999926,51.39112189999969,51.391141699999935,51.3965103999999,52.390220399999635,52.5835947999999,,,,19971121,999,999,2025-01-13_12h30.24.950,video_presentation,2023.2.3,143.90849722089214,2025-01-13 12h30.33.782755 -0500,
8,0,8,0,52.5835947999999,,,,,,,,,,,,,52.390450899999905,52.5835947999999,52.5835947999999,55.39189699999997,None,55.39260599999989,55.398549,55.844040799999675,55.84406099999978,55.84989319999977,56.84346839999989,57.025858999999855,,,,19971121,999,999,2025-01-13_12h30.24.950,video_presentation,2023.2.3,143.90849722089214,2025-01-13 12h30.33.782755 -0500,
9,0,9,0,57.025858999999855,,,,,,,,,,,,,56.84380139999985,57.025858999999855,57.025858999999855,59.84974109999985,None,59.85031979999985,59.8565638,60.2880868999996,60.28810939999994,60.29404799999975,61.28778059999968,61.29421189999994,,,,19971121,999,999,2025-01-13_12h30.24.950,video_presentation,2023.2.3,143.90849722089214,2025-01-13 12h30.33.782755 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.28783720000001,61.29421189999994,71.29286849999971,,,,,,,,,
