trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,waiting_for_scanner.started,key_resp_start.started,text.started,instruction_image.started,waiting_for_scanner.stopped,key_resp_start.keys,key_resp_start.rt,key_resp_start.duration,dummy.started,dummy_fixation_cross.started,dummy.stopped,trial.started,movie.started,key_resp_trial.started,trial.stopped,key_resp_trial.keys,rating.started,rating_fixation_square.started,rating.stopped,washout.started,washout_fixation_cross.started,washout.stopped,washout_fixation_cross.stopped,participant,session,run,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,0.0035342000001037377,0.014877600000090752,0.014877600000090752,0.014877600000090752,1.6128305000002001,5,1.5967411999999968,None,,,,,,,,,,,,,,,,241506,999,999,2025-01-13_12h34.36.472,video_presentation,2023.2.3,144.03452219410323,2025-01-13 12h34.41.741648 -0500,
0,0,0,0,11.92866260000028,,,,,,,,,,1.6128630000002886,1.619034400000146,11.613620900000114,11.614656400000058,11.92866260000028,11.92866260000028,14.614837500000249,None,14.615408200000275,14.621403999999984,15.365976400000363,15.365990300000249,15.372958800000106,16.366281699999945,,241506,999,999,2025-01-13_12h34.36.472,video_presentation,2023.2.3,144.03452219410323,2025-01-13 12h34.41.741648 -0500,
1,0,1,0,16.548108100000263,,,,,,,,,,,,,16.366932700000234,16.548108100000263,16.548108100000263,19.37223800000038,None,19.372916499999974,19.379005700000107,19.900760100000298,19.90077330000031,19.90668360000018,20.900341500000195,21.07341919999999,241506,999,999,2025-01-13_12h34.36.472,video_presentation,2023.2.3,144.03452219410323,2025-01-13 12h34.41.741648 -0500,
2,0,2,0,21.07341919999999,,,,,,,,,,,,,20.90098420000004,21.07341919999999,21.07341919999999,23.90476340000032,None,23.90528310000036,23.91158489999998,24.21828890000006,24.218303300000116,24.223602100000335,25.22062870000036,,241506,999,999,2025-01-13_12h34.36.472,video_presentation,2023.2.3,144.03452219410323,2025-01-13 12h34.41.741648 -0500,
3,0,3,0,25.37141930000007,,,,,,,,,,,,,25.221127300000262,25.37141930000007,25.37141930000007,28.2232968000003,None,28.223928800000067,28.229950500000086,28.59904460000007,28.59906430000001,28.604709100000036,29.59861860000001,29.76981479999995,241506,999,999,2025-01-13_12h34.36.472,video_presentation,2023.2.3,144.03452219410323,2025-01-13 12h34.41.741648 -0500,
4,0,4,0,29.76981479999995,,,,,,,,,,,,,29.599048400000356,29.76981479999995,29.76981479999995,32.60068769999998,None,32.601274900000135,32.60754270000007,32.983870900000056,32.98388950000026,32.989336600000115,33.983214000000316,34.18633450000016,241506,999,999,2025-01-13_12h34.36.472,video_presentation,2023.2.3,144.03452219410323,2025-01-13 12h34.41.741648 -0500,
5,0,5,0,34.18633450000016,,,,,,,,,,,,,33.98387750000029,34.18633450000016,34.18633450000016,36.98976870000024,None,36.99018640000031,36.99659930000007,41.990375700000186,41.990386599999965,41.997152800000094,42.990456600000016,,241506,999,999,2025-01-13_12h34.36.472,video_presentation,2023.2.3,144.03452219410323,2025-01-13 12h34.41.741648 -0500,
6,0,6,0,43.17351770000005,,,,,,,,,,,,,42.99108690000003,43.17351770000005,43.17351770000005,45.99067210000021,None,45.99109120000003,45.9970972000001,45.991494200000034,45.991512400000374,45.9970972000001,46.99114980000013,47.17322420000028,241506,999,999,2025-01-13_12h34.36.472,video_presentation,2023.2.3,144.03452219410323,2025-01-13 12h34.41.741648 -0500,
7,0,7,0,47.17322420000028,,,,,,,,,,,,,46.99176430000034,47.17322420000028,47.17322420000028,49.9937688,None,49.99420700000019,50.00066270000025,50.501726599999984,50.50174470000002,50.50744630000008,51.50127659999998,51.68499659999998,241506,999,999,2025-01-13_12h34.36.472,video_presentation,2023.2.3,144.03452219410323,2025-01-13 12h34.41.741648 -0500,
8,0,8,0,51.68499659999998,,,,,,,,,,,,,51.502262900000005,51.68499659999998,51.68499659999998,54.50237100000004,None,54.50280650000013,54.50905150000017,54.50318000000016,54.50319149999996,54.50905150000017,55.502704300000005,55.68435420000014,241506,999,999,2025-01-13_12h34.36.472,video_presentation,2023.2.3,144.03452219410323,2025-01-13 12h34.41.741648 -0500,
9,0,9,0,55.68435420000014,,,,,,,,,,,,,55.503134200000204,55.68435420000014,55.68435420000014,58.50955030000023,None,58.51013230000035,58.516465600000174,59.19095349999998,59.19096710000031,59.19659640000009,60.1906726000002,60.365010900000016,241506,999,999,2025-01-13_12h34.36.472,video_presentation,2023.2.3,144.03452219410323,2025-01-13 12h34.41.741648 -0500,
10,0,10,0,60.365010900000016,,,,,,,,,,,,,60.1914211000003,60.365010900000016,60.365010900000016,63.19614330000013,None,63.1971109000001,63.202725999999984,63.19790120000016,63.197924400000375,63.202725999999984,64.20018970000001,,241506,999,999,2025-01-13_12h34.36.472,video_presentation,2023.2.3,144.03452219410323,2025-01-13 12h34.41.741648 -0500,
11,0,11,0,64.37110230000008,,,,,,,,,,,,,64.2006295000001,64.37110230000008,64.37110230000008,67.20207370000026,None,67.20248790000005,67.20883290000029,67.20287430000008,67.20289040000034,67.20883290000029,68.20266930000025,68.38528440000027,241506,999,999,2025-01-13_12h34.36.472,video_presentation,2023.2.3,144.03452219410323,2025-01-13 12h34.41.741648 -0500,
,,,,68.38528440000027,,,,,,,,,,,,,68.20338760000004,68.38528440000027,68.38528440000027,,,,,,,,,,,,,,,,,,
